ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,
T20,000000003967,,000000001806,,000000007503,,000000004280,,000000051535,,000000006238,,000000012402,,000000001982,,000000008314,,000000002913,,000000000000,,000000001409,,000000011906,,000000010096,R,000000012284,,000000003352,,000000005759,,000000000000,,000000005990,,000000001177,,000000003122,,000000016198,,000000001842,,000000002852,,000000004963,,000000002109,,000000001010,,000000000000,,000000003996,,000000010885,,000000001620,,000000047926,,000000016077,,000000000310,,000000043281,,000000001204,,000000003080,,000000016618,,000000000053,,000000009676,,000000000757,,000000001200,,000000058703,,000000001936,,000000000372,,000000012067,,000000013598,,000000015543,,000000001549,,000000000000,
T21,000000000000,,000000000001,,000000000000,,000000000479,,000000015285,,000000000822,,000000000128,,000000000394,,000000019500,,000000000624,,000000000000,,000000000336,,000000001358,,000000006321,R,000000018024,,000000000019,,000000000262,,000000000000,,000000000730,,000000028657,,000000000324,,000000000000,,000000001095,,000000013127,,000000001916,,000000004350,,000000000623,,000000111898,,000000000146,,000000063871,,000000000262,,000000000071,,000000000000,,000000000738,,000000011988,,000000123560,,000000004402,,000000027606,,000000000423,,000000001997,,000000007166,,000000000291,,000000008765,,000000000000,,000000000037,,000000000080,,000000006231,,000000000966,,000000000631,,000000000000,
T22,000000109434,,000000000000,,000000010716,,000000024708,,000000052094,,000000016152,,000000028614,,000000795148,R,000000273635,,000000043127,,000000001479,,000000001954,,000000336360,,000000007171,R,000000039426,,000000042352,,000000099126,,000000084858,,000000008524,,000000094294,,000000024073,,000000020839,,000000007737,,000000126722,,000000079487,,000000003089,,000000003213,,000000070845,,000000037015,R,000000246270,,000000021224,,000000072992,,000000500226,,000000000000,,000001496467,,000000039753,,000000026665,,000000632682,,000000004287,,000000089654,,000000003932,,000000640228,R,000003961502,,000000003877,,000000001961,,000000056651,,000000028643,,000000007437,,000000018036,,000000011714,
T23,000000021053,,000000026790,,000000028169,,000000020975,,000000091648,,000000069422,,000000005565,,000000000780,,000000015688,,000000023475,,000000000432,,000000031127,,000000040937,,000000017499,,000000028288,,000000024608,,000000025497,,000000027505,,000000015840,,000000015426,,000000005166,,000000049060,,000000056168,,000000015250,,000000031276,,000000046526,,000000013484,,000000008854,,000000009314,,000000013163,,000000057034,,000000061008,,000000016663,,000000014232,,000000038713,,000000019032,,000000042797,,000000071198,,000000001710,,000000017891,,000000027749,,000000030943,,000000096970,,000000028730,,000000006430,,000000023702,,000000033490,,000000000097,,000000068244,,000000035546,
T24,000000199970,,000000058285,,000000202588,,000000143329,,000003090610,,000000420736,,000000162608,,000000050031,,000001253518,,000000296786,,000000104923,,000000134108,,000001608090,,000000300855,R,000000500775,,000000188281,,000000203492,,000000104926,,000000097726,,000000444133,,000000378084,,000000894900,,000000583498,,000000129078,,000000265331,,000000136658,,000000087657,,000000151688,,000000120342,,000000587524,,000000198035,R,000001268900,,000000568268,,000000092546,,000000710956,,000000637218,,000000480781,R,000000834338,,000000053954,,000000202339,R,000000052324,,000000262386,,000001618563,,000000156914,,000000063769,,000000438904,,000000472741,,000000003547,,000000458408,,000000068733,
T25,000000021001,,000000000000,,000000027942,,000000017053,,000000268749,,000000028061,,000000038664,,000000004688,,000000345673,,000000030374,,000000000349,,000000010747,,000000105406,,000000206353,,000000010682,,000000021481,,000000015737,,000000012228,,000000008536,,000000026277,,000000087229,,000000054454,,000000045161,,000000034055,,000000015466,,000000008022,,000000012077,,000000021474,,000000005683,,000000051089,,000000003704,,000000128684,,000000127852,,000000004094,,000000091092,,000000015039,,000000029239,,000000061934,,000000000491,,000000009629,R,000000003697,,000000045363,,000000128753,,000000013724,,000000007766,,000000059064,,000000070722,,000000102876,,000000042290,,000000002148,
T27,000000011792,,000000000619,,000000018338,,000000008455,,000000392030,,000000015259,,000000000528,,000000000000,,000000030401,,000000000000,,000000015785,,000000047686,,000000028189,,000000000000,,000000011041,,000000005163,,000000000000,,000000011329,,000000000000,,000000000000,,000000000000,,000000025094,,000000001590,,000000008552,,000000019425,,000000000008,,000000000000,,000000000000,,000000009923,,000000005883,,000000000597,,000000025294,,000000000000,,000000000003,,000000025150,,000000000005,,000000021949,,000000068654,,000000000000,,000000000000,,000000000000,,000000007305,,000000020978,,000000000000,,000000000000,,000000000000,,000000019340,,000000000372,,000000067064,,000000000000,
T28,000000128898,,000000041889,,000000119669,,000000118740,,000004220434,,000000041762,,000000161062,,000000319583,,000000232170,,000000074116,,000000027386,,000000066304,,000000370540,,000000035082,R,000000109182,,000000046048,,000000114268,,000000106451,,000000102838,,000000156165,,000000235333,,000000171658,,000000345741,,000000086867,,000000137305,,000000098685,,000000013613,R,000000243489,,000000093371,,000000517040,,000000026617,,000000227426,,000000207340,,000000061375,,000000848230,,000000093613,,000000230022,,000000847488,,000000031477,,000000152446,,000000088047,,000000292036,,000000609410,,000000047044,,000000017754,,000000179927,,000000222038,,000000016039,,000000396755,,000000022848,
T29,000000000002,,000000008499,,000000004013,,000000000827,,000000004027,,000000001003,,000000005095,,000000008674,R,000000004605,,000000005641,,000000001171,,000000003977,,000000022555,,000000069203,R,000000001858,,000000002612,,000000004402,,000000004101,,000000008546,,000000001989,,000000121127,,000000168140,,000000071077,,000000039156,,000000019794,,000000008391,,000000027427,,000000004788,,000000000527,,000000002112,,000000000000,R,000000001393,,000000007945,R,000000000000,,000000020440,,000000015622,,000000006371,,000000017502,,000000000866,,000000013085,R,000000016444,,000000008506,,000000166429,,000000003444,,000000001781,,000000004110,,000000064624,,000000003152,,000000005487,,000000000000,
T40,000002795906,,000000000000,,000002863658,,000002270383,,000050508441,,000004540586,,000006469246,,000001177724,R,000000000000,,000007658782,,000001247291,,000001169247,,000011717504,,000004583977,,000002851449,,000002689843,,000003417779,,000002403956,,000001420982,,000006644962,,000011617600,R,000006417078,,000007482396,,000001397578,,000004534346,,000000812629,,000001721548,,000000000000,,000000075664,,000010617034,,000001096922,,000036209216,,000009869492,,000000433116,,000008820082,,000002385413,,000005493119,,000009831427,,000001025584,,000002907731,,000000000000,,000000189518,,000000000000,,000002298220,,000000556013,,000009530628,,000000000000,,000001665885,,000006429115,,000000000000,
T41,000000301178,,000000720733,,000000560236,,000000376874,,000009613594,,000000383513,,000000681415,R,000000341965,R,000001869870,,000000670410,,000000067859,,000000170214,,000002805458,,000000681537,R,000000250272,,000000246518,,000000516523,,000000196732,,000000208997,,000000775845,,000001931571,,000000728842,,000001003657,,000000347963,,000000323593,,000000123985,,000000154945,,000000000000,,000000518405,,000002216438,,000000229800,,000004015628,,000001092078,,000000160640,,000000237205,,000000353972,,000000468606,,000001978061,,000000130644,,000000216082,,000000015208,,000001068573,,000000000000,,000000247661,,000000105077,,000000798404,,000000000000,,000000307278,,000000850647,,000000000000,
T50,000000000082,,000000000000,,000000000437,,000000000003,,000000000000,,000000000070,,000000227237,,000000016229,,000000001120,,000000000000,,000000006899,,000000000620,,000000122241,,000000148676,,000000065535,,000000000229,,000000041351,,000000001074,,000000049323,,000000216033,,000000309638,,000000000200,,000000161309,,000000000019,,000000001946,,000000000040,,000000001551,,000000000000,,000000000270,,000000642182,,000000000005,,000001219248,,000000026788,,000000000000,,000000072081,,000000005725,R,000000076250,,000000778597,,000000016878,,000000000008,,000000000000,,000000113351,,000000000000,,000000000130,,000000035880,,000000002713,,000000122740,,000000000000,,000000000000,,000000000000,
T51,000000031901,,000000000000,,000000000000,,000000023180,,000000000000,,000000000000,,000000093358,,000000050054,,000001339280,,000000011636,,000000048593,,000000000000,,000000037993,,000000000000,,000000011245,,000000000000,,000000003123,,000000000000,,000000019619,,000000125140,,000000166840,,000000123255,,000000153456,,000000000000,,000000010802,,000000000000,,000000010340,,000000055557,,000000082031,,000000283209,,000000000000,,000000692143,,000000031733,,000000000000,,000000000000,,000000010875,,000000002028,,000000328900,,000000006906,,000000032279,R,000000000190,,000000120960,,000000000000,,000000000000,,000000026564,,000000290789,,000000368618,,000000008108,,000000035555,,000000000000,
T53,000000115975,,000004238789,,000000040237,,000000079656,,000000031879,,000000146690,,000000000060,,000000000000,,000000059980,,000000000000,,000000000000,,000000007787,,000000000000,,000000001825,,000000000000,,000000122152,,000000342320,,000000729260,,000000000000,,000000000000,,000000000000,,000000069870,,000000027618,,000000105100,,000000000005,,000000278372,,000000004440,,000000272240,,000000000000,,000000000000,,000000666383,,000000000000,,000000001610,,000001021709,R,000000011197,,000000830662,,000000013199,,000000000000,,000000000000,,000000000000,,000000010596,,000000002355,,000002677604,,000000101665,,000000000000,,000000001923,,000000026706,,000000585992,,000000005631,,000001044150,
T99,000000000000,,000000000000,,000000000000,,000000025770,,000000000000,,000000000000,,000000003679,,000000001147,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000109270,R,000000115008,,000000000000,,000000000000,,000000001383,,000000012007,,000000003596,,000000000000,,000000381901,,000000000000,,000000000000,,000000000000,,000001607261,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000025849,,000000000000,,000000000000,,000000000000,,000000037508,,000000000000,,000000000000,,000000004942,,000000120519,,000000000000,,000000000000,,000000011500,,000000005270,
