ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,
T01,000000315698,,000000184254,,000000758304,,000000961130,,000003207301,,000000000000,,000000000000,,000000000000,,000000000320,,000000076704,,000000000000,,000000000000,,000000058273,,000000005232,R,000000000000,,000000071876,,000000514814,,000000051791,,000000045514,,000000793304,,000000006167,,000001970274,,000000774891,,000000024454,,000000029719,,000000243684,,000000000119,,000000320228,,000000399498,,000000004228,,000000058329,,000000000000,,000000000000,,000000002292,,000000000000,,000000000000,,000000021846,,000000047658,,000000002122,,000000008311,,000000000000,,000000000000,,000000000000,,000000000000,,000000955512,,000000039042,,000001857838,,000000006016,,000000147346,,000000284351,
T09,000002174639,,000000000000,,000005874113,,000002736946,,000033465174,,000002173882,,000003276124,R,000000000000,,000018378130,,000005080777,,000002495807,,000001187070,,000007420829,,000006269721,,000002321044,R,000002487499,,000002896252,,000002812804,,000001010241,,000003896700,,000004920521,,000009657800,,000004657395,,000002969375,,000002972654,,000000000000,,000001542620,,000002931547,,000000000000,,000008144397,,000001891591,,000011581018,,000006185008,,000000776378,,000007767709,,000002177458,,000000000000,,000008951757,,000000812824,,000002793683,,000000808091,,000006186336,,000021793858,,000001850205,,000000325622,,000003460741,,000010580395,,000001210255,,000004109019,,000000672532,R
T10,000000167871,,000000035747,,000000063365,,000000046781,,000000334178,,000000037014,,000000048923,,000000016883,,000000560163,,000000161803,,000000048054,,000000007934,,000000268276,,000000043494,,000000014273,,000000113247,,000000113252,,000000055948,,000000017464,,000000030434,,000000073661,,000000143213,,000000077850,,000000042128,,000000032959,,000000024850,,000000027668,,000000040479,,000000012751,,000000131442,,000000044578,,000000230074,,000000310616,,000000007796,,000000093986,,000000094902,,000000016294,,000000307664,,000000012282,,000000151355,,000000018749,,000000123266,,000000871147,,000000042413,,000000021137,,000000190288,R,000000331900,,000000017524,,000000055130,,000000001680,
T11,000000000090,,000000008321,,000000000532,,000000015020,,000000000000,,000000095870,,000000409188,,000000000000,,000000137578,,000000000000,,000000000000,,000000000000,,000000491241,,000000864325,,000000276657,,000000000407,,000000000179,,000000671891,,000000028029,,000000026460,,000000003362,,000000114017,,000000035825,,000000146976,,000000397831,,000000049839,,000000004998,,000000885808,,000000000172,,000000266263,,000000069913,,000000000713,,000000016747,,000000008183,,000000000000,,000000017082,,000000000029,,000001415734,,000000000000,,000000037650,,000000009022,,000000000000,,000000038755,,000000000000,,000000000000,,000000000067,,000000000000,,000000068154,,000000000284,,000000000000,
T12,000000271835,,000000055713,,000000444421,,000000153766,,000002307022,,000000191515,,000000209187,R,000000087988,,000000698100,,000000360670,,000000143455,,000000068754,,000000339387,,000000185439,,000000097098,,000000159824,,000000128732,,000000535565,,000000089544,,000000410287,,000000319844,,000000271256,,000000354306,,000000175712,,000000283614,,000000069489,,000000052644,,000000235792,,000000071418,,000000465081,,000000121562,,000001282080,,000000501060,,000000036686,,000000467286,,000000183779,,000000060302,,000000926818,,000000084253,,000000157637,,000000065176,,000000666932,,000001350468,,000000096338,,000000057551,,000000406113,,000000413097,,000000146054,,000000156500,,000000021863,
T13,000000548265,,000000039617,,000000774633,,000000468525,,000005705527,,000000622822,,000000469724,R,000000113753,,000002268475,,000000932703,,000000095310,,000000238983,,000001314194,,000000819164,R,000000447992,,000000436855,,000000732826,,000000607540,,000000239446,,000000752171,,000000660829,,000000963507,,000000847897,,000000417088,,000000720404,,000000209416,,000000318054,,000000291238,,000000159216,,000000524167,,000000231654,,000001609423,,000001663047,,000000170853,,000001757224,,000000447543,,000000441858,,000002064196,,000000123474,,000000527829,,000000127437,,000000845393,,000003108416,,000000369966,,000000104721,,000000897405,,000001205858,,000000397749,,000000989545,,000000070176,
T14,000000001973,,000000000000,,000000000321,,000000004098,,000000013548,,000000000577,,000000007220,,000000000110,,000000009420,,000000000000,,000000000000,,000000000838,,000000006746,,000000003500,R,000000003918,,000000000011,,000000004607,,000000005115,,000000002342,,000000001159,,000000001457,,000000005258,,000000000580,,000000000000,,000000000000,,000000000014,,000000000191,,000000000000,,000000001265,,000000000000,,000000000413,,000000021484,,000000000000,,000000000661,,000000007571,,000000001130,,000000001202,,000000014843,,000000001318,,000000000000,,000000000654,,000000000000,,000000007744,,000000000000,,000000000000,,000000000000,,000000001809,,000000002312,,000000000000,,000000000065,
T15,000000772003,,000000003923,,000000023047,,000000000000,,000000790501,,000000011568,,000000277640,,000000058753,,000003122370,,000000000000,,000000117940,,000000002430,,000001844536,,000000208568,,000000000000,,000000000448,,000000062286,,000000010569,,000000031886,,000000131566,,000000024132,,000000028059,,000000000049,,000000001903,,000000000000,,000000050518,,000000057215,,000000022820,,000000083625,,000000943383,,000000029029,,000000954205,,000000400665,,000000038062,,000001194452,,000000034443,,000000091220,,000001230536,,000000104405,,000000028395,R,000000003369,,000000010970,,000000631024,,000000028481,,000000012755,,000000157561,,000000473056,,000000164518,,000000374994,,000000003266,
T16,000000136611,,000000070918,,000000327800,,000000245290,,000000905245,,000000199042,,000000400562,,000000128935,,000000394276,,000000228858,,000000125797,,000000049505,,000000588262,,000000470248,,000000226693,,000000102496,,000000299701,,000000142064,,000000145229,,000000407570,,000000577360,,000000969676,,000000421665,,000000157569,,000000105517,,000000085934,,000000066134,R,000000107839,,000000232030,,000000788480,,000000074612,,000001613010,,000000289504,,000000025302,,000000855610,,000000259226,,000000262799,,000001126362,,000000134961,,000000024692,,000000062539,,000000290747,,000001501797,,000000124378,,000000072961,,000000173812,,000000493755,,000000110760,,000000645717,,000000026123,
T19,000000501840,,000000041775,,000000115177,,000000206556,,000004095264,,000000465080,,000000551945,R,000000086773,,000000612674,,000000343851,,000000309199,,000000060692,,000001340156,,000000122607,R,000000027756,,000000032180,,000000656512,,000000289714,,000000118464,,000000997667,,000000525198,,000000959224,,000001840116,,000000306872,,000000115216,,000000043312,,000000024318,,000000173643,,000000334443,,000000658612,,000000105212,R,000005075955,,000000567854,,000000105264,,000000447413,,000000028954,,000000223319,,000000745864,,000000164371,,000000323403,,000000058904,,000000452843,,000004495210,,000000101738,,000000309321,,000000571694,,000000603834,,000000370291,,000000477880,,000000001239,
