,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T20,000000004225,000000001905,000000005246,000000004187,000000055550,000000007212,000000009265,000000001547,000000005179,000000008663,000000003829,000000000000,000000001617,000000012626,000000013073,000000014879,000000003575,000000006374,000000000000,000000005393,000000001358,000000003056,000000016540,000000002304,000000002945,000000005308,000000003215,000000001475,000000000000,000000004306,000000003965,000000000000,000000064576,000000015916,000000000367,000000041327,000000001326,000000004609,000000016952,000000000076,000000011382,000000000840,000000001317,000000071661,000000001936,000000000430,000000012756,000000153263,000000001380,000000001785,000000000000
T21,000000000000,000000000001,000000000000,000000000426,000000015457,000000000791,000000000232,000000000328,000000000000,000000014000,000000000148,000000000000,000000000754,000000014972,000000005722,000000022703,000000000015,000000000291,000000000000,000000000654,000000001158,000000000762,000000000000,000000001228,000000018619,000000001980,000000008512,000000001290,000000095717,000000000244,000000049618,000000000373,000000000050,000000000176,000000000801,000000016209,000000146857,000000000812,000000012157,000000000237,000000001371,000000006980,000000000376,000000020664,000000000000,000000000036,000000000101,000000005699,000000003352,000000000666,000000000000
T22,000000078166,000000000000,000000010368,000000027999,000000059777,000000017569,000000027828,000001002576,000000034133,000000298604,000000048078,000000001691,000000002203,000000346589,000000007045,000000035438,000000063582,000000100843,000000188197,000000009343,000000106658,000000025972,000000022621,000000007486,000000182624,000000059421,000000003311,000000012475,000000066665,000000050783,000000275705,000000024464,000000063488,000000625656,000000000000,000001026121,000000035351,000000029471,000000229686,000000005213,000000095139,000000004688,000000676478,000000124996,000000000484,000000003276,000000059245,000000032335,000000005424,000000020628,000000013378
T23,000000021311,000000027833,000000032787,000000023533,000000101237,000000071142,000000005269,000000002916,000000000095,000000016275,000000024899,000000000536,000000034436,000000042936,000000020011,000000028262,000000023522,000000026536,000000029665,000000016282,000000018149,000000005456,000000058440,000000064903,000000017862,000000032740,000000045606,000000013576,000000010496,000000009804,000000013206,000000024655,000000051775,000000017488,000000014814,000000038428,000000019910,000000054100,000000074679,000000001714,000000017541,000000027781,000000032959,000000104390,000000028720,000000007319,000000027983,000000044906,000000012599,000000066962,000000034371
T24,000000189345,000000059497,000000198227,000000153445,000003745377,000000474534,000000211091,000000051790,000000036083,000001380910,000000337456,000000168980,000000135169,000001623571,000000208572,000000548670,000000212064,000000190370,000000075628,000000102306,000000474475,000000390879,000000979061,000000694226,000000154677,000000272542,000000136787,000000092600,000000166067,000000094395,000000617428,000000188156,000001357553,000000591457,000000119312,000000725263,000000754435,000000514003,000000837823,000000069681,000000214192,000000076143,000000269317,000002177571,000000175679,000000070398,000000451215,000000535636,000000002539,000000467502,000000071954
T25,000000020920,000000000000,000000030215,000000017657,000000280038,000000028660,000000043717,000000005712,000000004074,000000187182,000000091117,000000000360,000000009943,000000116206,000000207097,000000021867,000000019622,000000016600,000000011581,000000010064,000000036859,000000105322,000000054695,000000044233,000000040086,000000015829,000000008042,000000006062,000000026517,000000012125,000000053016,000000003671,000000145500,000000111132,000000005289,000000082388,000000020109,000000041484,000000054847,000000004967,000000008813,000000003773,000000047194,000000139337,000000015733,000000007795,000000040370,000000102924,000000108409,000000039691,000000002217
T27,000000014233,000000000840,000000025986,000000009985,000000388443,000000014156,000000000676,000000000000,000000000000,000000024569,000000000000,000000021329,000000053613,000000016217,000000000000,000000017590,000000005340,000000000000,000000007622,000000000000,000000000000,000000000000,000000027357,000000000928,000000003212,000000020118,000000000012,000000000000,000000000000,000000009081,000000006765,000000001151,000000024165,000000017268,000000000006,000000029523,000000000947,000000014061,000000075269,000000000000,000000010144,000000000000,000000005840,000000028080,000000000000,000000000000,000000000000,000000018689,000000000369,000000072199,000000000000
T28,000000058178,000000043060,000000131360,000000129711,000004330853,000000044577,000000132703,000000231407,000000029324,000000198483,000000083662,000000038023,000000074790,000000469458,000000046157,000000115632,000000065516,000000126113,000000110176,000000101562,000000213324,000000317250,000000164127,000000451755,000000100025,000000134644,000000098851,000000009619,000000239476,000000091654,000000495599,000000039912,000000176275,000000261360,000000086656,000000940646,000000078572,000000292563,000000981965,000000052462,000000096472,000000135841,000000293122,000000668807,000000053264,000000018869,000000199707,000000294448,000000011622,000000325376,000000026172
T29,000000000000,000000008812,000000002938,000000001679,000000007622,000000000975,000000002243,000000005461,000000036307,000000004554,000000020755,000000012088,000000003806,000000034068,000000082806,000000003006,000000002218,000000005098,000000004221,000000008647,000000001870,000000163860,000000188854,000000063331,000000039168,000000021889,000000009935,000000000000,000000003437,000000007619,000000001396,000000000000,000000001459,000000024021,000000000000,000000028371,000000000261,000000006858,000000019556,000000003307,000000016808,000000021741,000000008789,000000164396,000000001008,000000001873,000000004138,000000227060,000000007060,000000004660,000000000000
T40,000003206583,000000000000,000003462413,000002602160,000067995659,000005658457,000007772602,000001040341,000001679173,000000000000,000008965572,000001745461,000001338075,000016642154,000004896317,000003197578,000002511660,000003749258,000002753680,000001414110,000007773773,000013246221,000007874712,000009623831,000001667344,000005361976,000001063261,000002124164,000000000000,000000092743,000011973673,000001297493,000042964774,000010390520,000000498528,000008424843,000002962128,000006649418,000010809736,000001109636,000003455706,000000000000,000000239219,000000000000,000002889912,000000675240,000010877689,000000000000,000001770466,000006793269,000000000000
T41,000000406408,000000408938,000000575180,000000398493,000008858498,000000717506,000000627358,000000278872,000000415581,000002043750,000000943806,000000126045,000000190002,000004439832,000000866747,000000388699,000000330181,000000674464,000000481212,000000182928,000000982784,000002194620,000000881011,000001325656,000000526302,000000357724,000000150139,000000306591,000000000000,000000542847,000002368068,000000205702,000004861687,000001360628,000000250438,-00000000118,000000397290,000000495134,000002301589,000000137528,000000366263,000000024819,000001176971,000000000000,000000307910,000000105817,000000740511,000000000000,000000203508,000000981282,000000000000
T50,000000000008,000000000000,000000000000,000000000003,000000000000,000000000434,000000147737,000000001434,000000032123,000000001710,000000000000,000000014789,000000000000,000000294138,000000087712,000000090791,000000000136,000000045844,000000000150,000000023962,000000213780,000000401512,000000000177,000000181388,000000000009,000000000129,000000000004,000000000000,000000000050,000000000000,000000685459,000000000000,000001238320,000000019932,000000000015,000000039392,000000001056,000000085491,000000849194,000000040299,000000000000,000000000000,000000107341,000000000000,000000000000,000000035542,000000000196,000000157286,000000000000,-00000000077,000000000000
T51,000000036669,000000000000,000000017860,000000032715,000000000000,000000000000,000000173839,000000072347,000000391231,000002109370,000000000289,000000075831,000000000000,000000056552,000000000000,000000014786,000000000000,000000003271,000000000000,000000024777,000000158844,000000246850,000000233416,000000187063,000000000000,000000011340,000000000000,000000009044,000000064712,000000106745,000000376772,000000000000,000001037341,000000052251,000000000000,000000000000,000000016296,000000003114,000000438984,000000017377,000000060334,000000000192,000000167055,000000000000,000000000000,000000030931,000000310205,000000649085,000000010392,000000051179,000000000000
T53,000000115437,000002456212,000000026190,000000108511,000000038686,000000245087,000000000000,000000000000,000000000000,000000049100,000000000000,000000000000,000000006004,000000000000,000000002500,000000000000,000000124883,000000241989,000000862150,000000000000,000000000000,000000000000,000000073488,000000050578,000000091059,000000000005,000000305614,000000006762,000000111395,000000000000,000000000000,000001066343,000000000000,000000001776,000003293053,000000010194,000000679406,000000023424,000000000000,000000000000,000000000000,000000008950,000000002487,000006014350,000000155743,000000000000,000000002165,000000041950,000000681824,000000008984,000000883025
T99,000000000000,000000000000,000000000000,000000024743,000000076204,000000000000,000000000778,000000001086,000000043804,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000197806,000000197503,000000000000,000000000000,000000000525,000000000074,000000003502,000000000000,000000385840,000000000000,000000000000,000000000000,000001447230,000000000000,000000000000,000000000000,000000000000,000000000000,000000025986,000000000000,000000000000,000000000000,000000019779,000000000000,000000000000,000000004567,000000124248,000000000000,000000000000,000000011802,000000006417
