,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,000000332689,000000128076,000000823508,000001057918,000002176236,000000000000,000000000000,000000000000,000002070974,000000000250,000000788350,000000000000,000000000000,000000054710,000000008052,000000000000,000000081267,000000562370,000000055363,000000035755,000000725694,000000004710,000001919910,000000837145,000000025103,000000029725,000000268508,000000000143,000000258600,000000383126,000000006705,000000105637,000000000000,000000000000,000000003026,000000000000,000000000000,000000021740,000000045017,000000002567,000000021664,000000000000,000000000000,000000000000,000000000000,000000985478,000000035561,000001974354,000000006651,000000159069,000000300096
T09,000002393192,000000000000,000006317644,000003130274,000037224077,000002615601,000003981362,000000000000,000001172595,000021480910,000005125502,000002825041,000001373666,000008515410,000007003426,000002959924,000002983664,000003131157,000002923336,000001191685,000004195996,000005518580,000008715827,000005398173,000003304632,000003285563,000000000000,000001763695,000003828869,000000000000,000008885847,000002098676,000012668587,000005842182,000001320196,000010217826,000002599203,000000000000,000009497906,000000906687,000003370643,000000914979,000006192281,000032336032,000001823355,000000354541,000003565789,000011767488,000001221966,000004628338,000000765543
T10,000000181427,000000039078,000000071136,000000051618,000000354297,000000040886,000000060686,000000019616,000000006234,000000452370,000000181875,000000048305,000000008780,000000279587,000000045955,000000014187,000000126861,000000128534,000000056967,000000017923,000000030808,000000078817,000000143641,000000084202,000000042402,000000035760,000000030053,000000030258,000000042917,000000012755,000000139438,000000044968,000000250926,000000343344,000000009220,000000098397,000000110941,000000017627,000000346008,000000018383,000000162313,000000016205,000000147812,000001068051,000000048413,000000024065,000000207672,000000321412,000000017295,000000057958,000000001828
T11,000000000070,000000009205,000000000533,000000039660,000000000000,000000105420,000000348353,000000000000,000000000000,000000187639,000000000000,000000000000,000000000000,000000662592,000000655894,000000282713,000000000343,000000000214,000000675386,000000050854,000000431851,000000003758,000000106903,000000043134,000000127777,000000361046,000000056900,000000005342,000000947290,000000000444,000000219000,000000070226,000000000996,000000014157,000000003620,000000273393,000000020823,000000000000,000001400232,000000000000,000000038481,000000008885,000000000000,000000029659,000000000000,000000000000,000000000070,000000000000,000000050465,000000000222,000000000000
T12,000000304441,000000062292,000000448115,000000182092,000002362738,000000239431,000000205690,000000085735,000000099392,000000702340,000000372122,000000142051,000000075205,000000359240,000000223072,000000105532,000000198355,000000141639,000000429146,000000106372,000000475294,000000346828,000000362397,000000421688,000000263809,000000302166,000000088106,000000042746,000000264522,000000084518,000000599169,000000099832,000001345394,000000476376,000000051047,000000510345,000000294762,000000084376,000000773462,000000061328,000000214600,000000077374,000000749470,000001886289,000000113316,000000060020,000000431095,000000467351,000000155021,000000185502,000000025310
T13,000000534396,000000042467,000000779970,000000454909,000006063356,000000647104,000000503252,000000113326,000000022961,000002422718,000001006494,000000093598,000000248454,000001293967,000000814549,000000452596,000000441843,000000886161,000000588860,000000240901,000000812739,000000732207,000000964119,000000884162,000000409836,000000696458,000000196965,000000335153,000000296649,000000146101,000000539155,000000234881,000001630358,000001915670,000000228022,000001839594,000000450807,000000512342,000002231348,000000095915,000000529655,000000138087,000000845395,000003325916,000000372935,000000103551,000000694833,000001156242,000000441096,000001000595,000000100889
T14,000000001547,000000000000,000000000216,000000003090,000000013899,000000000609,000000006085,000000000082,000000000000,000000010412,000000000000,000000000000,000000001209,000000006534,000000002273,000000003962,000000000000,000000002421,000000004385,000000001816,000000003071,000000000337,000000004252,000000000613,000000000000,000000000000,000000000021,000000000143,000000000000,000000000827,000000000000,000000000596,000000021420,000000000000,000000001159,000000005024,000000001113,000000002253,000000011758,000000001180,000000000000,000000000461,000000000000,000000007357,000000000000,000000000000,000000000000,000000001510,000000002312,000000000000,000000000385
T15,000000734105,000000004230,000000021760,000000000000,000000663448,000000010819,000000315287,000000059128,000000200365,000002719350,000000000000,000000166179,000000001840,000001651211,000000252652,000000000000,000000000353,000000063898,000000009158,000000032432,000000139346,000000023736,000000028412,000000000051,000000004384,000000000000,000000047390,000000053009,000000022636,000000069877,000001012028,000000029894,000000929929,000000403194,000000040411,000001125461,000000046306,000000085401,000001284892,000000101590,000000028450,000000003709,000000006840,000000652229,000000024319,000000021791,000000107394,000000497993,000000153588,000000379549,000000004638
T16,000000117112,000000072004,000000311811,000000225809,000000833126,000000194192,000000376489,000000114659,000000033205,000001322241,000000216640,000000107685,000000047816,000000859865,000000447561,000000225375,000000097813,000000248979,000000130045,000000136160,000000402403,000000660029,000000942148,000000657906,000000146050,000000099527,000000085404,000000063425,000000102116,000000215012,000000740605,000000081272,000001446184,000000281773,000000031262,000000815532,000000292752,000000257583,000001028006,000000138266,000000025632,000000061811,000000261101,000001446144,000000113184,000000071854,000000180733,000000443185,000000101779,000000640728,000000024490
T19,000000546384,000000028420,000000130808,000000236705,000002487112,000000620232,000000985200,000000087806,000000103227,000000700198,000000407499,000000464803,000000061840,000002130103,000000949768,000000028342,000000041668,000000751121,000000298353,000000133255,000001531029,000000568738,000001338497,000002219843,000000406065,000000134690,000000045415,000000010181,000000209198,000000350711,000000616609,000000139530,000005250995,000000704017,000000163193,000000732348,000000172651,000000484140,000000845817,000000206022,000000258589,000000075237,000000555186,000004880690,000000186578,000000379138,000000856742,000000555083,000000417471,000000466647,000000002674
